rank,idx,n,forest_h,forest_opt,forest_status,forest_time,opout_exact,opout_status,gap_opout_minus_forest_opt,graph6
1,38,30,15,18,TIMEOUT,120.000,23,OPTIMAL,5,]}lx]`@OY@?C?J?A_@W?T??O??G??W??[??F???w?M???h@??A`?H?`_K?oGB??@_OB?J?HG?G
2,15,30,16,18,OPTIMAL,23.231,24,OPTIMAL,6,]}E\LCbJboq?O@C@i?Y?Ko?E??G?GO?Gc?CP??Eo??a_??J?@B_?@@?_??_G???B????]?CC@o
3,83,30,16,17,OPTIMAL,74.590,23,OPTIMAL,6,]|CGxcF@G?_F?ZGUdaKo@c?C?I??GG?OK?K@?@?w?GC_?oo?@?`???``_C??W??@A???N_?o??
4,123,30,16,16,TIMEOUT,120.001,23,OPTIMAL,7,]~SGWGFAW@_T?JAf?OgSA?EO?PGA_???C?OBAC?WY?E_??M?O?a@O?A?g??GG??Bf_??BK???G
5,131,30,16,19,OPTIMAL,1.319,24,OPTIMAL,5,]~s[[KF?wB_Fd?c?_gOGD@?cC?WA@??D???b???w??E_??H???U???S_??GW???F???SQ@ABK?
6,157,30,16,19,OPTIMAL,8.109,25,OPTIMAL,6,]~u[[KD_WBoE`H@o?oGCB?OO@@GA?OA?CD?@???W??B_??J???R@??K?_GAG???b????[?@JO_
7,198,30,16,18,OPTIMAL,18.236,24,OPTIMAL,6,]|lq_lFSe_q?C@CAo@{?P?AK?GW?F??BC??b???w??B_?s?_@G?_?G?_?C?W???F????[??_@_
8,5,30,17,19,OPTIMAL,50.990,24,OPTIMAL,5,]|KxXSO?G?_C?@]MO?I?B??K??y??o??v??ic?G?@~???CBC??FC???aC??G@G?B?@_As?@_G?
9,7,30,17,19,OPTIMAL,34.384,25,OPTIMAL,6,]}mZu_@?WaaB?@C@i?I_@O?x@AIA?GB?G?s??@_G?G@_?_B??`K??`?_??kO@?B@???OK?_@?O
10,13,30,17,19,OPTIMAL,1.987,25,OPTIMAL,6,]~mSijD_I@_B?@?B_@Y?P??G??w??w??d??P??CW??aw?@[_Di@??w???o?O?G?D?@??K?C??W
11,23,30,17,19,OPTIMAL,18.085,23,OPTIMAL,4,]|KkwKB?k?_@?@?B_?w?U?AC?WG?_W?Cs??B_B?G?KB_?OH_A?C?e??OP??G?O?B????^doAo?
12,30,30,17,18,OPTIMAL,38.940,24,OPTIMAL,6,]~sOwsAAgS_C?H?K_AW?bADiGcK_?Gh?K??F?@B??GO_?_B@g?OD??O?_?GG_??A????SS??@W
13,33,30,17,18,OPTIMAL,60.145,23,OPTIMAL,5,]|cMPx`OwA_@?B??_@W?p??[?OW??w??[AOC??R???W_?Ge?`oH???H_??Cg]W?CB???C?B?A?
14,36,30,17,19,OPTIMAL,18.079,25,OPTIMAL,6,]|^W_kT@[IO`ca_A_XOAP?__OAG_?W_?SQ?@?_?WC?@_O@A??AT???S???GG??B@???KC???Pw
15,39,30,17,17,TIMEOUT,120.000,24,OPTIMAL,7,]~tIWSB@GD_r@`@__oGCBB[?@_G@?WW??G?@A??GO?B_??B???B???I_??EW??@`???DjK?@_?
16,51,30,17,17,OPTIMAL,77.110,23,OPTIMAL,6,]{ljIzPcG`aB?D?B_@g?X?BC?CW??w?Gg?Z??AOG?Q?_?GB?E?G?A?G_??CW?O@ACI???O_??G
17,66,30,17,19,OPTIMAL,3.815,23,OPTIMAL,4,]{kWG[FIoQcAW@G@c?h?B??^?EE??K??G?CD@d?GG?B_Y??D??Qc???q???K???B_??Oo???BG
18,68,30,17,18,OPTIMAL,8.862,25,OPTIMAL,7,]~DYIKFPQG_bB_A?@?G?BA?RIBo??K??MO?BE?Rg_?@`??AA?A@A?A?_?@Ao??OD??A?K???S_
19,76,30,17,18,OPTIMAL,32.628,23,OPTIMAL,5,]}mk[KWAGP`AA@G?_?W?DA?cg?H??w??[??qG?Wj@m??E?@SG?As???A???G???B_???UO???w
20,103,30,17,17,TIMEOUT,120.000,24,OPTIMAL,7,]|Lm{cPCW@?D?X_O_GW_A_?UO?[_?K??M??B??s?_?__?OBCI?B???B_??@W???R????[?M?E?
21,107,30,17,19,OPTIMAL,1.810,24,OPTIMAL,5,]~^Sih@?G?_FOK??g?YGB@OC@BWBCGA?K@?B?O?g??D_D_O??p???`???O?W??GD??@?[?YAC?
22,118,30,17,18,OPTIMAL,19.709,25,OPTIMAL,7,]{mlJOXOW`_BODO@g?W?FoBQOGK_?G_??O?B???W??@_??F???L???iO??ZK_?A@C??OCO???W
23,119,30,17,18,TIMEOUT,120.004,25,OPTIMAL,7,]|Sgw[uKG`eAZ?W?c?Wo?A?DG?IO?I??x??Po??M???q??Ec??@C?CHA?A?G??@g???KC???OW
24,120,30,17,19,OPTIMAL,27.315,25,OPTIMAL,6,]{EWO]B@WBoe_HggS?HCAW?CI?OO?w??tW?I_??I??@w??BC??G???Kq??A[???@c???MO???G
25,127,30,17,17,TIMEOUT,120.041,23,OPTIMAL,6,]{mk[KFE@O_BGBW?_?o?D??t?@y?@M?`C?S`?C?S??Ao??BCC?Dc??@a???W???F????[???Ao
26,129,30,17,18,OPTIMAL,34.953,24,OPTIMAL,6,]{E\G[LAo?_B?D?B_@W?F??k?@o?t??oC?OB?D??C_?cP_BWA?@QE??j???M???@c???KO???g
27,136,30,17,18,OPTIMAL,20.018,23,OPTIMAL,5,]~uWw[QCG@_D?B??_?w?F?HG?`g@UG?AC?@D??@g??F_??F???L???F???@g?SC?En???A_??G
28,141,30,17,19,OPTIMAL,4.330,23,OPTIMAL,4,]~TWOTHoGB_Z?D_Cq?{_@E?GICg?@W??W??@???W??I_??J??@m??Ag_?@KG??@B?p???@C??G
29,142,30,17,18,OPTIMAL,60.739,23,OPTIMAL,5,]{kxZJDDGH_A?L?H_CW?D??C??w?BW?Es?d?_G?K_g@_A_@CC?AC??AA???W???F????[???JO
30,145,30,17,19,OPTIMAL,3.963,25,OPTIMAL,6,]|mk[UH_[@oD`_@_e??o@I?K??x_?C_?EO?@c??G_?@_??F???L???D_???w???L???DR_?B??
